 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / D̩bit (cms),Grade,Symbol / Symbole,QA/QC
02OA016,2023-12-31T00:00:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T00:05:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T00:10:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T00:15:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T00:20:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T00:25:00-05:00,1.354,,,1,9190,,,1
02OA016,2023-12-31T00:30:00-05:00,1.355,,,1,9200,,,1
02OA016,2023-12-31T00:35:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T00:40:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T00:45:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T00:50:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T00:55:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:00:00-05:00,1.356,,,1,9200,,,1
02OA016,2023-12-31T01:05:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T01:10:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T01:15:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T01:20:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:25:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T01:30:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T01:35:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T01:40:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T01:45:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T01:50:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T01:55:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:00:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T02:05:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:10:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:15:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T02:20:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T02:25:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T02:30:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:35:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T02:40:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T02:45:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T02:50:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T02:55:00-05:00,1.356,,,1,9200,,,1
02OA016,2023-12-31T03:00:00-05:00,1.358,,,1,9210,,,1
02OA016,2023-12-31T03:05:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T03:10:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T03:15:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T03:20:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T03:25:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T03:30:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T03:35:00-05:00,1.343,,,1,9150,,,1
02OA016,2023-12-31T03:40:00-05:00,1.353,,,1,9190,,,1
02OA016,2023-12-31T03:45:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T03:50:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T03:55:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T04:00:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T04:05:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T04:10:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:15:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T04:20:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T04:25:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:30:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T04:35:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T04:40:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:45:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T04:50:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T04:55:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T05:00:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T05:05:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:10:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T05:15:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:20:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T05:25:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T05:30:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T05:35:00-05:00,1.351,,,1,9180,,,1
02OA016,2023-12-31T05:40:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T05:45:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T05:50:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T05:55:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T06:00:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T06:05:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T06:10:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T06:15:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T06:20:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T06:25:00-05:00,1.346,,,1,9160,,,1
02OA016,2023-12-31T06:30:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T06:35:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T06:40:00-05:00,1.350,,,1,9180,,,1
02OA016,2023-12-31T06:45:00-05:00,1.348,,,1,9170,,,1
02OA016,2023-12-31T06:50:00-05:00,1.356,,,1,9200,,,1
02OA016,2023-12-31T06:55:00-05:00,1.352,,,1,9180,,,1
02OA016,2023-12-31T07:00:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T07:05:00-05:00,1.349,,,1,9170,,,1
02OA016,2023-12-31T07:10:00-05:00,1.347,,,1,9170,,,1
02OA016,2023-12-31T07:15:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T07:20:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T07:25:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T07:30:00-05:00,1.345,,,1,9160,,,1
02OA016,2023-12-31T07:35:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T07:40:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T07:45:00-05:00,1.339,,,1,9140,,,1
02OA016,2023-12-31T07:50:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T07:55:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T08:00:00-05:00,1.344,,,1,9150,,,1
02OA016,2023-12-31T08:05:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T08:10:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T08:15:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T08:20:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T08:25:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T08:30:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T08:35:00-05:00,1.342,,,1,9150,,,1
02OA016,2023-12-31T08:40:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T08:45:00-05:00,1.332,,,1,9110,,,1
02OA016,2023-12-31T08:50:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T08:55:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T09:00:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T09:05:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T09:10:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T09:15:00-05:00,1.339,,,1,9140,,,1
02OA016,2023-12-31T09:20:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T09:25:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T09:30:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T09:35:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T09:40:00-05:00,1.340,,,1,9140,,,1
02OA016,2023-12-31T09:45:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T09:50:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T09:55:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T10:00:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T10:05:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T10:10:00-05:00,1.335,,,1,9120,,,1
02OA016,2023-12-31T10:15:00-05:00,1.335,,,1,9120,,,1
02OA016,2023-12-31T10:20:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T10:25:00-05:00,1.339,,,1,9140,,,1
02OA016,2023-12-31T10:30:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T10:35:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T10:40:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T10:45:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T10:50:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T10:55:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T11:00:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T11:05:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T11:10:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T11:15:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T11:20:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T11:25:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T11:30:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T11:35:00-05:00,1.338,,,1,9130,,,1
02OA016,2023-12-31T11:40:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T11:45:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T11:50:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T11:55:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T12:00:00-05:00,1.331,,,1,9110,,,1
02OA016,2023-12-31T12:05:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T12:10:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T12:15:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T12:20:00-05:00,1.335,,,1,9120,,,1
02OA016,2023-12-31T12:25:00-05:00,1.331,,,1,9110,,,1
02OA016,2023-12-31T12:30:00-05:00,1.331,,,1,9110,,,1
02OA016,2023-12-31T12:35:00-05:00,1.328,,,1,9100,,,1
02OA016,2023-12-31T12:40:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T12:45:00-05:00,1.331,,,1,9110,,,1
02OA016,2023-12-31T12:50:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T12:55:00-05:00,1.332,,,1,9110,,,1
02OA016,2023-12-31T13:00:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T13:05:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T13:10:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T13:15:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T13:20:00-05:00,1.327,,,1,9090,,,1
02OA016,2023-12-31T13:25:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T13:30:00-05:00,1.337,,,1,9130,,,1
02OA016,2023-12-31T13:35:00-05:00,1.327,,,1,9090,,,1
02OA016,2023-12-31T13:40:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T13:45:00-05:00,1.328,,,1,9100,,,1
02OA016,2023-12-31T13:50:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T13:55:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T14:00:00-05:00,1.336,,,1,9130,,,1
02OA016,2023-12-31T14:05:00-05:00,1.332,,,1,9110,,,1
02OA016,2023-12-31T14:10:00-05:00,1.335,,,1,9120,,,1
02OA016,2023-12-31T14:15:00-05:00,1.341,,,1,9140,,,1
02OA016,2023-12-31T14:20:00-05:00,1.334,,,1,9120,,,1
02OA016,2023-12-31T14:25:00-05:00,1.332,,,1,9110,,,1
02OA016,2023-12-31T14:30:00-05:00,1.332,,,1,9110,,,1
02OA016,2023-12-31T14:35:00-05:00,1.333,,,1,9110,,,1
02OA016,2023-12-31T14:40:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T14:45:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T14:50:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T14:55:00-05:00,1.328,,,1,9100,,,1
02OA016,2023-12-31T15:00:00-05:00,1.324,,,1,9080,,,1
02OA016,2023-12-31T15:05:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T15:10:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T15:15:00-05:00,1.327,,,1,9090,,,1
02OA016,2023-12-31T15:20:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T15:25:00-05:00,1.328,,,1,9100,,,1
02OA016,2023-12-31T15:30:00-05:00,1.326,,,1,9090,,,1
02OA016,2023-12-31T15:35:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T15:40:00-05:00,1.325,,,1,9090,,,1
02OA016,2023-12-31T15:45:00-05:00,1.326,,,1,9090,,,1
02OA016,2023-12-31T15:50:00-05:00,1.320,,,1,9070,,,1
02OA016,2023-12-31T15:55:00-05:00,1.330,,,1,9100,,,1
02OA016,2023-12-31T16:00:00-05:00,1.322,,,1,9070,,,1
02OA016,2023-12-31T16:05:00-05:00,1.323,,,1,9080,,,1
02OA016,2023-12-31T16:10:00-05:00,1.322,,,1,9070,,,1
02OA016,2023-12-31T16:15:00-05:00,1.326,,,1,9090,,,1
02OA016,2023-12-31T16:20:00-05:00,1.325,,,1,9090,,,1
02OA016,2023-12-31T16:25:00-05:00,1.325,,,1,9090,,,1
02OA016,2023-12-31T16:30:00-05:00,1.323,,,1,9080,,,1
02OA016,2023-12-31T16:35:00-05:00,1.329,,,1,9100,,,1
02OA016,2023-12-31T16:40:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T16:45:00-05:00,1.325,,,1,9090,,,1
02OA016,2023-12-31T16:50:00-05:00,1.322,,,1,9070,,,1
02OA016,2023-12-31T16:55:00-05:00,1.322,,,1,9070,,,1
02OA016,2023-12-31T17:00:00-05:00,1.324,,,1,9080,,,1
02OA016,2023-12-31T17:05:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T17:10:00-05:00,1.319,,,1,9060,,,1
02OA016,2023-12-31T17:15:00-05:00,1.318,,,1,9060,,,1
02OA016,2023-12-31T17:20:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T17:25:00-05:00,1.322,,,1,9070,,,1
02OA016,2023-12-31T17:30:00-05:00,1.317,,,1,9060,,,1
02OA016,2023-12-31T17:35:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T17:40:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T17:45:00-05:00,1.320,,,1,9070,,,1
02OA016,2023-12-31T17:50:00-05:00,1.318,,,1,9060,,,1
02OA016,2023-12-31T17:55:00-05:00,1.318,,,1,9060,,,1
02OA016,2023-12-31T18:00:00-05:00,1.316,,,1,9050,,,1
02OA016,2023-12-31T18:05:00-05:00,1.316,,,1,9050,,,1
02OA016,2023-12-31T18:10:00-05:00,1.321,,,1,9070,,,1
02OA016,2023-12-31T18:15:00-05:00,1.315,,,1,9050,,,1
02OA016,2023-12-31T18:20:00-05:00,1.315,,,1,9050,,,1
02OA016,2023-12-31T18:25:00-05:00,1.316,,,1,9050,,,1
02OA016,2023-12-31T18:30:00-05:00,1.317,,,1,9060,,,1
02OA016,2023-12-31T18:35:00-05:00,1.315,,,1,9050,,,1
02OA016,2023-12-31T18:40:00-05:00,1.314,,,1,9050,,,1
02OA016,2023-12-31T18:45:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T18:50:00-05:00,1.317,,,1,9060,,,1
02OA016,2023-12-31T18:55:00-05:00,1.314,,,1,9050,,,1
02OA016,2023-12-31T19:00:00-05:00,1.315,,,1,9050,,,1
02OA016,2023-12-31T19:05:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T19:10:00-05:00,1.317,,,1,9060,,,1
02OA016,2023-12-31T19:15:00-05:00,1.313,,,1,9040,,,1
02OA016,2023-12-31T19:20:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T19:25:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T19:30:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T19:35:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T19:40:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T19:45:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T19:50:00-05:00,1.314,,,1,9050,,,1
02OA016,2023-12-31T19:55:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T20:00:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T20:05:00-05:00,1.308,,,1,9020,,,1
02OA016,2023-12-31T20:10:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T20:15:00-05:00,1.308,,,1,9020,,,1
02OA016,2023-12-31T20:20:00-05:00,1.304,,,1,9010,,,1
02OA016,2023-12-31T20:25:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T20:30:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T20:35:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T20:40:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T20:45:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T20:50:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T20:55:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T21:00:00-05:00,1.312,,,1,9040,,,1
02OA016,2023-12-31T21:05:00-05:00,1.314,,,1,9050,,,1
02OA016,2023-12-31T21:10:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T21:15:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T21:20:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T21:25:00-05:00,1.308,,,1,9020,,,1
02OA016,2023-12-31T21:30:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T21:35:00-05:00,1.310,,,1,9030,,,1
02OA016,2023-12-31T21:40:00-05:00,1.307,,,1,9020,,,1
02OA016,2023-12-31T21:45:00-05:00,1.308,,,1,9020,,,1
02OA016,2023-12-31T21:50:00-05:00,1.308,,,1,9020,,,1
02OA016,2023-12-31T21:55:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T22:00:00-05:00,1.305,,,1,9010,,,1
02OA016,2023-12-31T22:05:00-05:00,1.311,,,1,9030,,,1
02OA016,2023-12-31T22:10:00-05:00,1.305,,,1,9010,,,1
02OA016,2023-12-31T22:15:00-05:00,1.309,,,1,9030,,,1
02OA016,2023-12-31T22:20:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T22:25:00-05:00,1.307,,,1,9020,,,1
02OA016,2023-12-31T22:30:00-05:00,1.305,,,1,9010,,,1
02OA016,2023-12-31T22:35:00-05:00,1.299,,,1,8990,,,1
02OA016,2023-12-31T22:40:00-05:00,1.301,,,1,9000,,,1
02OA016,2023-12-31T22:45:00-05:00,1.303,,,1,9010,,,1
02OA016,2023-12-31T22:50:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T22:55:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T23:00:00-05:00,1.304,,,1,9010,,,1
02OA016,2023-12-31T23:05:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T23:10:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T23:15:00-05:00,1.305,,,1,9010,,,1
02OA016,2023-12-31T23:20:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T23:25:00-05:00,1.304,,,1,9010,,,1
02OA016,2023-12-31T23:30:00-05:00,1.306,,,1,9020,,,1
02OA016,2023-12-31T23:35:00-05:00,1.303,,,1,9010,,,1
02OA016,2023-12-31T23:40:00-05:00,1.307,,,1,9020,,,1
02OA016,2023-12-31T23:45:00-05:00,1.298,,,1,8990,,,1
02OA016,2023-12-31T23:50:00-05:00,1.303,,,1,9010,,,1
02OA016,2023-12-31T23:55:00-05:00,1.303,,,1,9010,,,1
02OA016,2024-01-01T00:00:00-05:00,1.302,,,1,9000,,,1
02OA016,2024-01-01T00:05:00-05:00,1.307,,,1,9020,,,1
02OA016,2024-01-01T00:10:00-05:00,1.299,,,1,8990,,,1
02OA016,2024-01-01T00:15:00-05:00,1.300,,,1,8990,,,1
02OA016,2024-01-01T00:20:00-05:00,1.296,,,1,8980,,,1
02OA016,2024-01-01T00:25:00-05:00,1.300,,,1,8990,,,1
02OA016,2024-01-01T00:30:00-05:00,1.302,,,1,9000,,,1
02OA016,2024-01-01T00:35:00-05:00,1.297,,,1,8980,,,1
02OA016,2024-01-01T00:40:00-05:00,1.299,,,1,8990,,,1
02OA016,2024-01-01T00:45:00-05:00,1.298,,,1,8990,,,1
02OA016,2024-01-01T00:50:00-05:00,1.303,,,1,9010,,,1
02OA016,2024-01-01T00:55:00-05:00,1.305,,,1,9010,,,1
02OA016,2024-01-01T01:00:00-05:00,1.300,,,1,8990,,,1
02OA016,2024-01-01T01:05:00-05:00,1.299,,,1,8990,,,1
02OA016,2024-01-01T01:10:00-05:00,1.301,,,1,9000,,,1
02OA016,2024-01-01T01:15:00-05:00,1.295,,,1,8980,,,1
02OA016,2024-01-01T01:20:00-05:00,1.298,,,1,8990,,,1
02OA016,2024-01-01T01:25:00-05:00,1.296,,,1,8980,,,1
02OA016,2024-01-01T01:30:00-05:00,1.298,,,1,8990,,,1
02OA016,2024-01-01T01:35:00-05:00,1.293,,,1,8970,,,1
02OA016,2024-01-01T01:40:00-05:00,1.293,,,1,8970,,,1
02OA016,2024-01-01T01:45:00-05:00,1.293,,,1,8970,,,1
02OA016,2024-01-01T01:50:00-05:00,1.297,,,1,8980,,,1
02OA016,2024-01-01T01:55:00-05:00,1.294,,,1,8970,,,1
02OA016,2024-01-01T02:00:00-05:00,1.294,,,1,8970,,,1
02OA016,2024-01-01T02:05:00-05:00,1.295,,,1,8980,,,1
02OA016,2024-01-01T02:10:00-05:00,1.296,,,1,8980,,,1
02OA016,2024-01-01T02:15:00-05:00,1.294,,,1,8970,,,1
02OA016,2024-01-01T02:20:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T02:25:00-05:00,1.294,,,1,8970,,,1
02OA016,2024-01-01T02:30:00-05:00,1.295,,,1,8980,,,1
02OA016,2024-01-01T02:35:00-05:00,1.294,,,1,8970,,,1
02OA016,2024-01-01T02:40:00-05:00,1.295,,,1,8980,,,1
02OA016,2024-01-01T02:45:00-05:00,1.292,,,1,8970,,,1
02OA016,2024-01-01T02:50:00-05:00,1.295,,,1,8980,,,1
02OA016,2024-01-01T02:55:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T03:00:00-05:00,1.296,,,1,8980,,,1
02OA016,2024-01-01T03:05:00-05:00,1.293,,,1,8970,,,1
02OA016,2024-01-01T03:10:00-05:00,1.292,,,1,8970,,,1
02OA016,2024-01-01T03:15:00-05:00,1.292,,,1,8970,,,1
02OA016,2024-01-01T03:20:00-05:00,1.293,,,1,8970,,,1
02OA016,2024-01-01T03:25:00-05:00,1.296,,,1,8980,,,1
02OA016,2024-01-01T03:30:00-05:00,1.290,,,1,8960,,,1
02OA016,2024-01-01T03:35:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T03:40:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T03:45:00-05:00,1.288,,,1,8950,,,1
02OA016,2024-01-01T03:50:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T03:55:00-05:00,1.288,,,1,8950,,,1
02OA016,2024-01-01T04:00:00-05:00,1.286,,,1,8940,,,1
02OA016,2024-01-01T04:05:00-05:00,1.287,,,1,8950,,,1
02OA016,2024-01-01T04:10:00-05:00,1.289,,,1,8950,,,1
02OA016,2024-01-01T04:15:00-05:00,1.289,,,1,8950,,,1
02OA016,2024-01-01T04:20:00-05:00,1.287,,,1,8950,,,1
02OA016,2024-01-01T04:25:00-05:00,1.291,,,1,8960,,,1
02OA016,2024-01-01T04:30:00-05:00,1.287,,,1,8950,,,1
02OA016,2024-01-01T04:35:00-05:00,1.282,,,1,8930,,,1
02OA016,2024-01-01T04:40:00-05:00,1.287,,,1,8950,,,1
02OA016,2024-01-01T04:45:00-05:00,1.287,,,1,8950,,,1
02OA016,2024-01-01T04:50:00-05:00,1.284,,,1,8940,,,1
